"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-29",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-07-31",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-10",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-11",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-12",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-13",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-14",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-15",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-16",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-17",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-18",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-19",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-20",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-21",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-29",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-08-31",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-10",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-11",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-12",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-13",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-14",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-15",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-16",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-17",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-18",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-19",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-20",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-21",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-29",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-09-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-10",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-11",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-12",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-13",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-14",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-15",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-16",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-17",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-18",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-19",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-20",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-21",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-29",,,
